abalone	2793,5509,7072,8690
fought	2780,9001,12613,12616
foul	11307,11418,11590,12182
fouled	560,8080
found	500,677,1200,1227,2132,2153,2781,2820,2826,2918,2947,2951,2974,3449,3595,3674,3708,3748,3802,3839,4349,4358,4628,4649,4714,4793,4824,5153,5172,5210,5584,5586,5670,5794,6899,6920,6944,7241,7272,7720,7940,8023,8092,8724,8866,9174,9387,9650,9683,9704,9722,9886,10248,10460,10503,10516,10578,10607,10647,10658,10709,10762,10772,10817,10838,10890,11067,11277,11796,12098,12109,12388
foundation	7389,7858,9806
foundations	9206,11822
founded	539
founder	8913
founders	2684
founding	4335
foundry	4641
four	240,540,546,583,961,1371,1830,2143,2180,2369,2603,2653,2953,3498,3536,3567,4051,4127,4152,4163,4247,4432,4432,4437,4667,4821,4912,4963,5243,5947,6201,6561,6766,6790,6797,6829,7243,7272,7497,7607,7698,7802,8145,8425,8556,8564,8608,8704,9368,9667,9675,9714,9714,9741,9786,9824,9824,9875,9885,9896,10044,10261,10419,10475,10528,10575,10629,10695,10718,10758,11280,11282,11324,11396,11602,11617,11673,12125,12347,12497,12612,12616,12788
fourteen	1326,7650,12138
fourth	865,3016,3354,3461
fowl	4204,5227,5305,10623,10627,10637
fox	7015
fr	10133
fracture	7363
fragile	2779,2791,3177,3420
fragrance	9519
frail	8732,12183,13129
frame	7980,9175,10134
framed	2722,8546,10628
framework	11993
fran	2758
franc	3249
france	353,504,552,608,640,645,707,738,768,770,831,862,979,1252,1933,2683,3225,3372,4381,4533,4607,4646,4716,4718,5451,6176,7078,8263,8809,8980,12110,12562,12614,13160
francisco	720,4810
francs	865,2778,2795,3239,3241,3241,4185,6177,7129,7131,7131,7132,7134,7138,7146,7174,7176,7413,7671,8421,9034,9036,10808
frank	7224
frankly	2222,11704
frantic	12881,13091
freak	11967
freckled	12167
free	9,93,139,692,1877,2295,2422,2435,2454,2584,2613,2771,2814,3307,3487,3508,3531,3547,3833,4336,4698,5692,5936,6022,6023,6699,6719,6853,8253,8303,8679,8852,9672,10449,10482,11222,11274,11287,11319,11784
freedom	348,390,1962,2298,2299,2435,2458,2460,2461,2465,2465,2472,2509,2514,3664,3829,3989,6702,6707,8228,8273,8340,8561,8837,9674,9923,11554,12249,12276,12278,12290,12308
freely	2666,3938,5782,6107,6192
freeze	4308,5996,11348
freezes	11394
freezing	425,10418,11339,11370
french	167,184,191,341,345,407,495,512,607,975,1969,1997,2018,2035,2255,2335,2361,2366,3249,4386,4388,4472,4475,4542,4610,4633,4648,4681,5645,6107,6723,6809,7241,7629,7697,7817,8548,8691,8982,9344,11642,12056,12616,12689
frenchman	3869,5638,10885,12108
frenchmen	2278,4264,12483
frenzy	10264
frequent	345,490,5187,8385,9933,9976,11764,12942
frequented	504,3771
frequenting	7364,12169
frequently	7694,11911,12171,12183
frequents	1039
fresh	1053,2069,2148,2154,2200,2604,3671,3741,3921,4283,4949,5016,5088,5820,5821,6171,6764,7613,8115,8530,8587,8597,10091,10356,10482,10923,10925,11250,11316,11506,11659,11670
freshly	5345
freshwater	3493,3495,7670
friend	845,1881,2215,2225,2252,2260,3377,3443,3454,3471,3487,3516,3518,3534,3538,3542,3549,3636,4361,4532,4895,4912,4921,4921,4961,5036,5060,5120,5195,5200,5270,5677,5679,5973,6102,6102,7121,7146,7586,7904,8195,8232,8282,8284,8290,8301,8667,8803,9500,9853,9966,10075,10678,11119,11592,11694,11836,11859,11885,11917,12105,12304,12473,12478,12668,12692,12964,12999
friendly	7421
friends	763,766,985,2027,2470,2490,2746,3372,3459,3468,5318,6224,6692,7060,7321,9173,9602,9968,11162,11237,11473,11538,11909,12326,12725,12857
frigate	495,710,712,718,802,868,880,882,893,918,923,927,941,955,993,1135,1143,1148,1159,1186,1188,1212,1235,1237,1291,1310,1321,1326,1334,1338,1351,1411,1413,1436,1440,1467,1515,1548,1559,1568,1579,1603,1608,1636,1638,1665,1683,1699,1719,1755,2237,2372,2389,2402,3194,5608,6750,9730
frigates	683,1087
frightened	567,5457,7445,7496,10158,10171,12383
frightening	1327,5575,10940,13113,13113
frightful	695,985,5730,9221,10282,11450,11478,12872,12924,13024,13070,13172
frightfully	12343,13133
fringe	4851
fringed	2780,7403,8695
fringes	1241,1697,11616
fringing	4491
frio	11629
frog	7358
from	28,48,63,63,93,95,103,107,114,114,124,167,261,291,346,361,372,374,387,460,460,478,481,484,484,487,487,489,500,500,501,507,510,514,523,525,526,552,578,585,607,612,637,651,666,678,688,697,706,720,724,760,762,779,784,852,853,866,913,919,920,943,948,959,1078,1087,1109,1156,1160,1176,1187,1193,1199,1200,1210,1211,1211,1228,1299,1300,1310,1321,1327,1328,1353,1364,1369,1411,1413,1416,1417,1426,1436,1461,1516,1538,1561,1568,1569,1571,1579,1579,1660,1684,1699,1707,1788,1823,1845,1902,1903,1905,1953,1955,1962,2012,2031,2048,2048,2122,2129,2146,2199,2238,2258,2277,2319,2335,2355,2383,2398,2442,2443,2513,2550,2583,2584,2584,2586,2592,2592,2592,2593,2594,2595,2653,2674,2674,2675,2684,2684,2700,2703,2706,2708,2710,2755,2757,2763,2765,2765,2766,2767,2768,2774,2776,2778,2779,2780,2781,2781,2781,2782,2782,2783,2793,2793,2794,2794,2807,2912,2926,2928,2930,2967,2967,2969,3002,3016,3041,3080,3099,3131,3132,3164,3173,3186,3225,3237,3276,3288,3331,3359,3380,3384,3402,3408,3410,3420,3433,3459,3497,3500,3554,3575,3576,3578,3585,3596,3640,3640,3640,3642,3644,3655,3661,3669,3721,3748,3763,3809,3825,3836,3874,3892,3915,3934,3938,3940,3970,3978,3979,4012,4027,4027,4031,4032,4048,4049,4056,4088,4103,4110,4115,4115,4116,4117,4137,4161,4168,4178,4185,4215,4215,4217,4228,4250,4270,4270,4274,4274,4283,4299,4317,4366,4370,4374,4383,4386,4394,4427,4438,4438,4472,4472,4478,4493,4510,4513,4518,4523,4531,4532,4558,4582,4587,4611,4612,4613,4616,4618,4628,4639,4646,4667,4678,4696,4699,4700,4709,4740,4783,4784,4796,4796,4802,4816,4831,4852,4938,4938,4941,4945,4949,4987,5049,5051,5096,5110,5151,5163,5167,5205,5208,5236,5237,5270,5275,5293,5339,5342,5349,5350,5375,5377,5391,5403,5442,5454,5468,5470,5470,5471,5483,5486,5489,5489,5530,5531,5544,5554,5555,5566,5608,5622,5682,5682,5743,5764,5797,5806,5808,5828,5852,5852,5852,5861,5880,5888,5897,5901,5904,5915,5917,5922,5922,5956,5988,6036,6117,6122,6149,6166,6167,6176,6183,6184,6188,6191,6193,6208,6213,6214,6214,6223,6227,6702,6704,6706,6745,6749,6749,6753,6754,6771,6771,6787,6796,6803,6803,6809,6832,6841,6915,6918,6947,7066,7067,7068,7080,7082,7099,7162,7261,7269,7276,7277,7285,7296,7302,7306,7346,7347,7364,7370,7386,7438,7440,7467,7492,7499,7499,7499,7518,7518,7520,7531,7555,7615,7629,7659,7672,7672,7673,7680,7701,7742,7747,7807,7810,7881,7942,7947,8021,8029,8038,8060,8107,8110,8152,8156,8160,8187,8220,8252,8352,8353,8357,8373,8385,8385,8386,8403,8404,8418,8441,8477,8502,8519,8529,8532,8534,8557,8571,8580,8585,8589,8600,8601,8615,8622,8625,8630,8679,8685,8688,8688,8695,8696,8697,8721,8729,8738,8748,8748,8751,8759,8759,8782,8789,8792,8810,8847,8851,8853,8855,8881,8891,8900,8914,8916,8920,8975,8978,8997,8997,8998,9022,9039,9073,9111,9114,9116,9116,9147,9177,9193,9194,9206,9218,9252,9290,9308,9331,9338,9352,9357,9360,9361,9379,9423,9447,9455,9478,9481,9516,9537,9554,9560,9611,9628,9636,9637,9644,9654,9655,9666,9666,9687,9698,9712,9717,9718,9728,9755,9756,9756,9769,9782,9806,9824,9939,9963,9970,9970,10025,10080,10100,10122,10154,10191,10194,10194,10199,10204,10207,10209,10235,10246,10268,10276,10285,10293,10295,10443,10472,10498,10498,10503,10514,10534,10559,10572,10576,10578,10582,10603,10613,10627,10639,10656,10661,10678,10730,10731,10764,10810,10826,10832,10835,10841,10842,10847,10851,10943,10950,10961,11009,11085,11099,11112,11116,11145,11261,11262,11266,11267,11278,11291,11293,11294,11306,11309,11320,11324,11381,11396,11422,11428,11431,11455,11482,11482,11486,11502,11507,11508,11555,11559,11585,11604,11604,11607,11616,11629,11634,11636,11667,11673,11675,11707,11719,11729,11748,11763,11768,11770,11778,11783,11802,11803,11804,11834,11891,11924,11924,11966,11970,12060,12065,12087,12109,12111,12114,12117,12117,12132,12147,12148,12152,12152,12173,12179,12186,12193,12200,12238,12304,12319,12322,12330,12331,12333,12420,12439,12439,12440,12441,12452,12458,12463,12509,12522,12526,12540,12540,12546,12546,12547,12555,12558,12577,12604,12616,12639,12661,12665,12674,12675,12680,12681,12694,12705,12745,12746,12772,12804,12806,12835,12836,12951,13044,13054,13057,13057,13057,13063,13076,13082,13083,13089,13102,13115,13118,13119,13122,13128,13129,13129,13140,13155,13160
fronds	5160
front	2419,3048,3544,3986,4587,4824,8515,8894,10143,10455,11803,12011,12049
fronts	8706,8713
frosted	1905,2653
frown	1957
frowning	5920,8806,12242
froze	10925
frozen	3278,10318,10354,10441,10580,10933,11031,11202,11488,13127
frugal	4266,4358
fruit	4996,5018,5051,5053,5055,5064,5068,5083,5092,5104,5106,5118,7411
fruitless	9556,11786,11924
fruits	2586,5306,12269,12301
frustrate	10335
frying	3514
ftp	35,72,76,78
fucus	2584,4041,4046,4091,7652,9191,9233,9637,9658,10004,10610,11600,11610,11824
fuego	11585
fuel	9449,9454
fulfilled	5311
full	216,928,1193,1284,1326,1433,1515,1562,2130,2565,2744,3057,3576,4186,4228,4406,4850,4862,4881,4886,5686,5743,5881,5998,6380,6387,6712,7629,7912,8065,8140,8755,8763,8845,8889,9548,9982,10039,10066,10445,10575,10960,11215,11378,11454,11456,11487,11514,11728,12149,12444,12672,12712,12814,12823,13173
fully	548,2029,2920,3487,3507,4250,5742,6750,6819,6877,7636,10496,10607,11063,11521,11962
fulton	3868
fumel	4811
fumes	8487,10842
fun	1258,1260,9942
function	3020,3938,5686
functional	4995
functioned	1223
functions	2821,2876
funding	48,48
funeral	6128,6232
fungus	4026,4695,6193,7659
funnel	7615,8747,9414,9489
funnels	866,1436,1496,5570,12680,12836
funny	10009
fur	1961,4185,5133,13130
furcy	3869
furies	11964
furious	1205,1877,5730,8051,9105,11082,11643
furiously	4830,7472,12061
furled	12680
furnace	5852,8529,9171,9178,9490,11514
furnaces	574,724,926,1290,1433,1461,1494,1504,12835
furnish	2576,5331,6745,11635
furnished	880,2549,2584,3677,4391,4546,5052,6792,7692,9701,9995,10656,11668,11800,12430,12592
furnishes	381
furnishing	9274,10098
furnishings	2648,2826
furniture	10949
furrow	2782
furrowed	6121,6774,7370,8694,12855
furrowing	9180
furrows	1742,4115,8168,9167
furs	7652,10257
further	15,714,1107,1341,2083,2360,4287,4651,5341,6065,8945,8950,11728,12131,12963
furthermore	4620,5897,9385
fury	1204,1516,5874,7482,7747,9341,9424,10283,10724,12350,12832
fused	3276,3526,4477,8502,8507,8704,10307
fusion	10191
futile	1214,1252,7598,10306,11260,12782
future	360,370,2447,2510,5967,6020,7703,8266,8787,8846,11560,12301
futures	1193
futuristic	351
g	81
gadoid	12460
gaff	920,12577,12680
gained	10491,11384
gaining	1440,1467,11348
gains	9034
gal	7148
galen	4392
galeolaria	8630
galileo	3341
gallant	774,785,986,1056,1244,1488,2035,2162,3193,3234,3366,3380,3540,3638,3919,4125,4507,4744,4780,5296,6841,7066,7157,7201,7598,8683,9694,11403,11473,11531,11932,12204,13162
galleons	8977,8989,8991,8997,9002,9019,9034
galleries	9198
gallery	6184,8162
galley	3007,3010,3013,5096,11377
galleys	7802,9261
gallows	8916
galvanic	11073
gam	10073
gama	7552
gambier	4475
gamble	11441
gamblers	9039
gambling	1378
game	848,2569,2576,4179,4947,4956,4957,5024,5039,5243,5294,5321,6748,8002,8095,9555,11728
games	413
gamut	4107,8386
ganges	6876
gangway	2547,13092
gangways	2825,2973,3702,6023,8142,8897,10507,10949,13073
gaped	581,3251,5720,8420,9415,9573,11822,12015
gaping	906,4405,5938,10379,12887
gaps	4489
gardens	763,779,1256,4044,4746,5289,7707
garfish	8619
gargantua	7398
garlands	4989,6191
garnished	3809
gas	3009,3851,3852,9254,11310
gaseous	3026
gash	581
gasp	11426,13082
gasped	1325,12055
gasping	1690,11400,11417
gastropoda	3380,5528
gate	7627
gather	1327,2737,5442,6171,6947,7303,7432,7445,9045
gathered	558,1957,2719,4046,4270,5112,5118,5305,5510,5897,6712,7290,7435,7440,8076,12947,13032
gathering	5414,5751,7286,12876
gathers	2807,3850
gauge	1506,2867,2869,3288,3589,6942,8459,8926,9385,9413,9744,9772,10486,10538,10970,10986,11027,11033,11166,11456,11482,12807
gave	472,971,1300,1564,1617,1735,1780,1846,1877,2097,2357,2531,2684,3075,3590,4120,4349,4356,4557,4685,4708,4874,4910,4927,5253,5342,5445,5554,5668,5763,5842,5910,6046,6790,7138,7337,7421,7765,8400,8529,8560,8679,8823,9509,9519,9609,10311,10490,10491,10515,10605,11074,11326,11376,11384,11385,11607,12052,13140
gaze	970,1944,1956,2318,3680,8630,12672,12826
gazed	1940,6086,11963
gazette	707
gear	718,958,1391,3166,5514,9821
geared	8144
gearing	1193,12511
gears	1200,3032
gebia	8711
geese	11610
gelatin	7068
gelatinous	5066,6892,7680,7682
geliniaroidea	4796
gems	6193,11074
genera	666,782,1421,3536,3540,6773,6843,9714,10689,10692
general	496,956,990,1158,1211,1244,1271,3836,4318,4366,4810,4828,7808,9152,9807,10277
generally	5469,5547,6736,6821,6964,9996,10299
generate	1804,2895,2918,9447
generated	3032,3429,3850,4092,6728,11381
generates	2936,3045,6276
generating	3020,3178,6161
generations	9300,12301
generator	12148
generis	3022
generosity	2318
generous	3665,4778,11250,11527
generously	6709
genius	388,5260,6698,12304
geniuses	3341
genre	2726
gent	4293
gentle	1978,5992,6149,6184,7337,10668,10706,12645
gentleman	7032
gentlemen	1973,2365,5608,9694,11209
gentleness	2318
gentler	2495
gently	4600,4970,7277,8192,12381,12512,12812,13075
genuine	2654,3112,3198,3577,3889,4017,4046,4302,4561,4989,5251,6775,7346,7352,7419,7615,8547,9641,11067,11601,11805,11825,11966
genuinely	774,7374,8643,9482
genus	1113,1422,1423,2766,2766,2767,2767,2783,3381,3561,3575,3576,3578,4026,4027,4027,4110,4115,4115,4117,4185,4274,4383,4696,4789,4796,5528,6186,6191,6193,6751,6753,6771,6787,6843,6992,7346,7347,7349,7524,7691,8580,8585,8600,8600,8622,8622,8630,8679,8679,8688,8688,8688,8695,8697,9360,9698,9714,9782,9995,10832,10833,11611,11666,11667,11692
geographer	7716
geographic	510,4805,9930
geographical	2684,10448
geography	2677,3276,4544,9647
geologic	11634
geologists	1012
geology	374,2677
geometry	8604
george	347,2675,6833,8502,8912
georgia	4613
gerard	2726
gericault	2727
germ	4516
german	517,1983,2002,2004,2010,2018,2035,2366,3710,6269
germany	497
gestation	356
gesticulated	1993
gesticulating	5397
gesture	1993,2357,4168,4194,4339,5897,6251,7424,7445,8156,8971,9267,9529,13063
gestured	4874
gestures	1004,2016,2289,3214,4036,5483
get	15,25,25,40,48,69,80,80,81,81,82,82,681,811,811,1371,1374,1456,1771,2021,2202,2215,2615,3402,3656,3900,3926,4916,5080,5324,5507,5519,6097,7001,7786,8055,8309,8319,8325,8456,8473,8553,8862,9156,9331,9589,9589,9708,9948,9980,9993,10161,10348,10642,10786,10878,10895,11060,11141,11143,11300,11302,11393,11903,12186,12420,12689,12735,12770
getaway	3445
gets	1813,4326,4326,8471,12686
getting	458,877,889,1177,1390,1734,1820,2302,2308,2474,3194,3784,3892,4287,5227,7168,7265,7456,8112,9177,9999,10144,10474,11397,11506,12457
geyser	481
ghastly	4437,8931,12963
gheritk	10874
ghost	7512,8710,13084
giant	367,379,669,998,1224,2757,2758,7073,7394,7397,7401,7410,7416,9224,10724
giants	694,10718,11825
gibraltar	7619,8558,8647,8744,8755,8761,8789,8810,11903
gift	1177,4289,5289
gifted	467,966,1803,8584,8603
gifts	48,4664,4775
gigantic	500,696,880,958,1023,1200,1343,1761,2404,2758,4165,4420,4493,4991,6828,7447,8081,9167,9188,9223,9260,9294,9352,10003,10170,10314,10630,11600,11824,11827,11855,11918,12511
gill	3508,3526,3536,3536,6788,8694,9701,12457
gills	3463,3487,3508,3531,6843,7523,11691,12204
gilthead	3576,3576,4790,8377,11671,11808,12163
gimlet	678
gin	4766,5272
gingerbread	9544,9546
girdle	7014,7650
girth	1414
gist	3737
give	44,104,107,107,122,513,548,671,1091,1178,1220,1681,1813,2038,2049,2244,2285,2288,2289,2298,2470,2486,2878,3095,3097,3151,3313,3323,3428,3855,4267,4388,4655,5021,5110,5222,5515,6046,6067,6938,7038,7053,7218,8565,9880,10188,10776,11577,11671,12249,12251,12276,12528,12572,13011,13080
given	42,553,1223,1290,1306,1787,2758,3125,3170,3583,3585,3845,4174,4586,4718,4912,5208,5703,5960,5971,5973,6166,6205,6702,6707,7361,7670,7756,8340,8803,8995,9303,9650,9751,9780,10230,11507,11585,11713,11973,12107,12425,12507,13033,13093
gives	368,374,389,2859,2870,2917,2936,3036,3103,3576,3852,4007,5052,5294,8380,9455,9649,9886,9896
giving	464,514,776,891,2147,2472,3420,3638,3687,5377,6221,6737,8601,9431,9937,10437,10944,11278,11312,11506,11789,12512,12562,13021
glaciers	9204
glad	4121,8238
glades	9199
gladly	5521,7754,8334
glanced	6929
glancing	5901
glare	1903,2550,9218
glasgow	3226,12434,12558
glass	2549,2760,2774,2790,2860,3173,3175,3177,3179,3302,3379,3420,3435,3542,3649,3676,3851,3887,3888,3967,4128,4152,4395,4794,5064,5470,5792,6184,6196,6726,7146,7158,7170,7411,8145,8591,8630,8687,10812,10949,11294,11653,13029
glasses	1241
glasswort	9566
glassy	4215,7067,8506,9483
glaucous	9353
gleam	4125,8601,11802,12163
gleamed	920,2550
gleaming	2722,2782,4029,5920,6778,7971,12451
gleams	1875,6191,10920,11103,12849
glee	2761,3570,4945,5326,5350,10750
gleeful	5334,7025
glide	4840,6901,9364
glided	3602,5851,7512,7551,10938,12045
gliding	1331,6780,13084
glimmer	9313,9406,9415
glimmering	8117
glimmers	4033,4213,4792,5860,6704,7283,9161,9319,11099,11808,12840
glimpse	3583,5779,6704,8764,9335,10412,12562,12941,13083
glimpsed	1606,2421,4035,5019,5852,7619,7707,8575,8608,9161,9379,11589
glimpses	12303
glisten	11663
glistened	1697,9478
glistening	5467
glitter	11663
glittered	9222
glittering	3576,9343,10921
global	3352,4472,9791
globe	1905,1923,2605,2805,3225,4170,4316,4318,4607,4828,5422,5646,5806,5816,5982,6712,8248,8500,8659,8659,8668,9235,9806,9934,10221,10386,10765,10895
globefish	6775
globes	2653
globicephalus	8622
globular	4041,5051,7082,7406,7677
globules	5858
gloom	1241,1358,1606,1684,1719,3410,7389,9148,9222,12924,12947
gloomier	11778,12200,12200,12570
gloomy	9198,12004,12435,12883
glorify	10707
glorious	847,8921
gloriously	5313
glory	2785,7652,12541
glove	4270
gloves	3642,3938,7679
glow	464,1300,1302,1307,1329,1395,1569,1904,3186,3429,3587,4149,4206,6903,7110,8386,9147,9177,9306,11074,11668,12171,12451,12834
glowed	9722
glowing	1411,9183,12168
glowworm	1353,6892
glue	5226
glued	1612,8934,10950,12054,12894
gluing	7421,8398
glutinous	3502
glutted	2148
glutton	3478,4951
gluttonous	5502
gluttony	4552
gnashing	11987
go	72,725,800,903,1022,1102,1182,1215,1455,1458,1603,1665,1693,1693,2008,2038,2044,2122,2136,2215,2439,2452,2460,2500,2569,2657,2991,3130,3446,3743,3752,3763,3814,3831,3890,3894,3894,3932,3950,3971,4185,4523,4672,4784,5090,5092,5104,5149,5227,5302,5483,5544,5781,6073,6124,6717,6809,6814,6944,7001,7051,7311,7434,7580,7703,7836,7881,8128,8136,8829,8846,8971,9130,9132,9404,9454,9560,9605,9654,9812,9814,9849,9911,10221,10272,10354,10354,10368,10377,10381,10397,10414,10427,10468,10928,11125,11134,11393,11573,11744,11839,11901,11909,12028,12035,12219,12227,12263,12303,12314,12476,12484,12506,12618,12760,12761,12774,12843,12924,13018,13095,13095
goal	44,48
goat	9212
goatee	1470
goats	10844
gobies	3575,7698,11804,12167
gobio	12450
goby	4273,8377,11611
god	2425,3334,7659,8105,8841,11083,11722,12261,12541,12857,13087
goddess	8586,11805
gods	2091,3396,4749,5030,7028,7218,7747,10672,10707,11108
goes	337,657,2977,3359,3735,3932,7096,9044,10082,10322,11806,12129,12134,12547
going	846,847,1462,1690,1896,2222,2227,2323,2502,2504,2506,2928,2959,2967,3049,3113,3181,3286,3410,3519,3921,3930,4296,4303,4313,4523,4668,4902,5761,5794,6144,6234,6812,7015,7017,7040,7258,7270,7319,7392,7562,7564,7629,8188,8373,8404,8516,8658,8809,9073,9103,9548,9576,9753,9772,9955,10001,10268,10270,10476,10503,10507,10539,11068,11119,11128,11228,11305,11381,11446,11484,11514,11547,11549,11554,11568,11599,11743,12013,12022,12131,12133,12186,12566,12658,12692,12763,12765,12867,12881,12926,12971,13092
goings	1877,8447
gold	2704,2900,3569,4382,5548,6781,7346,7697,7698,7748,8417,8418,8421,8440,8450,8586,8978,9014,9017,9359,10902,11659,11663,11671,11672,11804,12164
golden	8601,10857,11807
goldfish	3576
gondolas	8694
gone	525,787,893,1176,1179,1327,1730,1901,2167,2200,2335,3815,4048,4146,4361,4427,4563,4846,5072,5321,5397,5847,6726,6742,7155,7776,8654,8707,8720,8880,9019,9028,9293,9577,9744,10826,10947,10961,11278,11402,12015,12067,12200,12617,12959,13037
good	48,365,390,503,514,802,941,955,1014,1137,1167,1178,1187,1293,1537,1598,1923,2025,2031,2118,2150,2160,2169,2218,2220,2220,2306,2408,2410,2549,2557,2817,3524,3589,4127,4185,4293,4427,4628,4746,4887,4896,4948,4965,5012,5114,5228,5251,5308,5453,5543,5571,5782,5913,6056,6744,6754,6766,6819,6838,6903,7001,7080,7184,7218,7226,7523,7582,7584,7720,7806,7837,7840,7867,7928,7956,8004,8213,8303,8304,8435,9046,9103,9111,9583,9671,9692,9769,9840,9964,10135,10285,10436,10712,10814,10826,10982,11114,11239,11523,11568,11607,11675,11887,11905,12004,12114,12251,12304,12448,12458,12542,12572,12700,12804
goods	5072
goose	10641
gooseberries	8679
gordon	12957
gorge	5237,9204,12195
gorgonaria	6153
gorgonian	2764
got	93,95,643,796,953,1438,1765,2222,3739,5272,5341,5582,5685,5742,5915,5949,6821,6822,7244,7351,7750,8060,8065,8101,8224,8822,8836,9505,9595,9733,10049,10532,10601,10810,11249,11300,11504,12078,12186,12190,12251,12735,13083,13136,13155
gotten	715,2027,2122,2157,7444,8831,9507,9604,11067,11533,12174
gouge	10928
gouged	4145,6792,9219,11633
gounod	2744
governed	4092,5773
government	607,630,738,766,1249,2712,4610,4681,6969,7629,9019,9034
governments	460,637,637
governor	477,481,485
gozo	944
grab	7354,8313
grace	1220,2215,4928,5210
graceful	6849,10705
gracefully	5049,11616
gracious	768,8649,10733,12704
graciously	7704,9116
graciousness	5834
gradient	4165
gradients	9185,9212,9481,9505,10540,10870
gradual	3082,9739
gradually	697,1329,3274,7411,10870,12534
graham	10884
grain	3652,7085
grained	3998,6149,7352,9574
grainy	3566
gram	429
grams	2910,4554
grand	2069,6737,12438,12443,12461,12499
grandson	8971
granite	4165,4987,7389,7397,8365,8738,9806,10696
grant	2411,4721,5346,7907,8809
granted	723,2491,5346,6954,8844,12236
granular	8708
graphite	6729
grappling	9185,12499
grasp	1973,3042,6702,9169
grasped	3540
grasping	1571,3516
grass	5470,7099,9219
grasse	12613
grasses	9636
grassy	4115
grateful	4887
gratefully	138
gratify	6967
gratiolet	1938,6059
gratitude	7750,11520
grave	4721,4721,6216,6221,6223,6227,6230,6691,12607
gravel	9369,10603,12546
graves	6248
gravitated	6149
gravitating	12564
gravity	6860,9209,9736,11017,11268,11431
gray	1535,1686,3569,3674,6778,7346,7697,8096,8379,8581,8612,8618,8695,9354,9700,9745,10279,10656,11659,11661,11809,11970
grayish	8097,8680,10315,10567
graze	2571,11714
grazing	4220,9379,9782
grease	5861,7743
great	348,355,374,395,512,545,645,847,866,969,981,1008,1229,1300,1639,1652,1803,1828,1899,1943,1962,1992,2360,2383,2499,2515,2684,2737,3186,3493,3677,3876,3921,3989,4175,4559,4788,5066,5086,5160,5262,5278,5296,5309,5637,5672,6086,6749,6822,6827,7020,7168,7443,7634,7641,7780,7795,7800,7802,7817,8089,8229,8259,8488,8545,8594,8786,8910,8910,9067,9203,9294,9574,9628,9634,9638,9684,9693,9744,9942,10280,10311,10617,10754,11099,11137,11158,11531,11708,11744,12133,12169,12443,12517,12531,12539,12740,12898,13165
greater	541,550,1076,1076,1077,1461,1622,1956,2659,2918,2921,3446,4145,4221,5377,5462,6200,6861,7283,7374,9282,9579,10170,10427,10447,10578,11266,11420,12125
greatest	1655,1964,5393,5768,7813,8679,8780,10333,10373,11554,12119
greatly	472
greats	2673
greco	9255
greece	4265,6838,8557,8911,9275,9283
greedily	2736,7375
greek	269,4391,4392,7670,7716,7716,8183,8355,8386,8423,8511,8534,12166
greeks	8365,8385,8544,8582,8707
green	2782,2793,3574,4017,4044,4107,4559,4591,4790,4990,6186,7364,7652,8608,8612,8680,9661,10233,10559,11074,11748,11963,12074,12153,12835
greenery	4040,4520,4587,5051,12148
greenest	11738
greenfish	4697,7879
greenish	2781,4273,7370,8688,11658
greenland	9962
greenwich	489,3325,6923
greet	3689,5829
greeted	1435,4963,10463
greeting	7421
grenada	12613
grenadier	9746
grenadiers	12451
grew	719,1205,1403,1569,1970,2102,2618,4038,4096,4110,4115,4156,4175,4516,4991,5864,5996,6120,6221,7389,7397,7677,8147,9109,9148,9160,9369,10065,10149,10167,10209,10238,11170,11413,11970,12074,12200,12325,12360,12854,13050
griddles	3009
grief	4574,9114,12103
griefs	12304
grijalva	4810
grilled	4949,5316,5345
grilling	5342
grim	2325
grind	5695,8085
grip	1689,1771,2333,5896,5987,6238,8806,8881,10165,11972,12060,12184,12457
gripped	6858,7434,11319,12200
grizzled	4440,12162
groaned	906,9779
grocery	12468
groove	3948
grooves	10296
grope	4149
groping	1181,1894,10532
ground	861,1218,3075,3740,4198,4209,5147,5160,8270,8840,9481,10277,10604,10639,10669,11228,11804,12105
grounds	3666,3820,5347,9762,10982
group	1112,1418,1421,2763,2772,4370,4381,4472,4474,4475,4484,4532,4536,4541,4544,4556,4558,4706,4710,5779,7552,7663,7966,8367,10689,11821
groupers	8611
groups	622,781,2603,2763,4477,6154,6949,9711,10700,11710
grove	6190
grow	2558,3772,4306,4494,7410,9165,9755,10035,11981
growers	3644
growing	393,694,1072,1176,4091,6094,8658,9044,10429,10541,10822,10840,11269,11401,12342,13125
growling	2308
grown	9511
grows	4961,5157
growth	4503,7670,10066,10709
grueling	11788
gruesome	6126,6876,8744,8752,12870
grunting	6768
grunts	11671
guadalupe	11768
guaranian	11668
guaranteed	4185
guarantees	10300
guard	1347,4142,4486,5506,8073,8340,10760
guarded	10699
guards	2267
gudgeon	11611,12450
gueboroa	4848,4860,4970,5046,5176,5448,5486,5629
guerilla	348
guess	2317,2876,4266,8375,9381,9626,9863
guessed	4626,7438,9049
guesswork	7745,10303
guests	5924,6706
guiana	11642,11710
guide	2815,4658,4661,4935,6718,7390,9195
guided	2241,4223,6236,10197,10251,10285,10696
guides	12558
guiding	4441,9171
guillaumot	328
guinea	4803,4928,6814
guitarfish	7696
